word;score;index_c_a
 пикантное ;0,3333;-0,098712293668443
 пиковая ;0,3333;-0,098712293668443
 пропускную ;0,3333;-0,098712293668443
 четырнадцатая ;0,3333;-0,098712293668443
 частнокапиталистическое ;0,3333;-0,098712293668443
 радиочастотный ;0,3333;-0,098712293668443
 сионистская ;0,3333;-0,098712293668443
 усадебная ;0,3333;-0,098712293668443
 безжизненное ;0,3333;-0,098712293668443
 оздоровительное ;0,3333;-0,098712293668443
 мордовская ;0,3333;-0,098712293668443
 ельцинское ;0,3333;-0,098712293668443
 элементный ;0,3333;-0,098712293668443
 мощнейшее ;0,3333;-0,098712293668443
 прежней ;0,3333;-0,098712293668443
 отечественного ;0,3333;-0,098712293668443
 павший ;0,3333;-0,098712293668443
 ревизионистское ;0,3333;-0,098712293668443
 мглистая ;0,3333;-0,098712293668443
 лекционная ;0,3333;-0,098712293668443
 электрофоретическая ;0,3333;-0,098712293668443
 несущего ;0,3333;-0,098712293668443
 преподавательский ;0,3333;-0,098712293668443
 культурной ;0,3333;-0,098712293668443
 распадный ;0,3333;-0,098712293668443
 старческие ;0,3333;-0,098712293668443
 соматический ;0,3333;-0,098712293668443
 милый ;0,3333;-0,098712293668443
 спектрофотометрический ;0,3333;-0,098712293668443
 одинарная ;0,3333;-0,098712293668443
 сероватый ;0,3333;-0,098712293668443
 луговое ;0,3333;-0,098712293668443
 полярные ;0,3333;-0,098712293668443
 наркотическое ;0,3333;-0,098712293668443
 тканевой ;0,3333;-0,098712293668443
 крохотную ;0,3333;-0,098712293668443
 разновременное ;0,3333;-0,098712293668443
 пианистический ;0,3333;-0,098712293668443
 электроакустическое ;0,3333;-0,098712293668443
 годового ;0,3333;-0,098712293668443
 душную ;0,3333;-0,098712293668443
 престарелый ;0,3333;-0,098712293668443
 пропускной ;0,3333;-0,098712293668443
 подготовительный ;0,3333;-0,098712293668443
 радужный ;0,3333;-0,098712293668443
 устаревшие ;0,3333;-0,098712293668443
 внеплановый ;0,3333;-0,098712293668443
 тетраэдрическая ;0,3333;-0,098712293668443
 конечного ;0,3333;-0,098712293668443
 токовое ;0,3333;-0,098712293668443
 хлебопекарное ;0,3333;-0,098712293668443
 валютную ;0,3333;-0,098712293668443
 бесцензурная ;0,3333;-0,098712293668443
 многострадальное ;0,3333;-0,098712293668443
 тронная ;0,3333;-0,098712293668443
 стоящую ;0,3333;-0,098712293668443
 чистокровная ;0,3333;-0,098712293668443
 громкие ;0,3333;-0,098712293668443
 конечные ;0,3333;-0,098712293668443
 откровенные ;0,3333;-0,098712293668443
 конкурсная ;0,3333;-0,098712293668443
 латеральную ;0,3333;-0,098712293668443
 электрофизиологическая ;0,3333;-0,098712293668443
 прошедшем ;0,3333;-0,098712293668443
 малочисленные ;0,3333;-0,098712293668443
 русским ;0,3333;-0,098712293668443
 ответственной ;0,3333;-0,098712293668443
 хитрого ;0,3333;-0,098712293668443
 вторых ;0,3333;-0,098712293668443
 охранительный ;0,3333;-0,098712293668443
 приторный ;0,3333;-0,098712293668443
 мартовские ;0,3333;-0,098712293668443
 отжившее ;0,3333;-0,098712293668443
 перестановочная ;0,3333;-0,098712293668443
 гастрономический ;0,3333;-0,098712293668443
 исполнительную ;0,3333;-0,098712293668443
 следующей ;0,3333;-0,098712293668443
 печатные ;0,3333;-0,098712293668443
 ежедневную ;0,3333;-0,098712293668443
